"ID","Language","Subscription.Type","Subscription.Event.Type","Purchase.Store","Purchase.Amount","Currency","Subscription.Start.Date","Subscription.Expiration","Demo.User","Free.Trial.User","Auto.Renew","Country","User.Type","Lead.Platform","Email.Subscriber","Push.Notifications","Send.Count","Open.Count","Click.Count","Unique.Open.Count","Unique.Click.Count","ExchangeRateToUSD","AmountInUSD","US_Canada","Other","Europe","Web.Purchase","App.Purchase","valueCust","OpenSendRatio","IsConsumer","IsOther","IsPOR","IsEBR","IsESP","IsKOR","IsENG","IsDEU","IsFRA","IsGLE","IsALL","IsSVE","IsITA","IsJPN","IsRUS","IsESC","IsFAR","IsGRK","IsARA","IsPOL","IsCHI","IsTUR","IsNED","IsVIE","IsHEB","IsTGL","IsHIN","IsDAR","IsLAT","IsKIS","IsURD","IsIND","IsPAS"
152,"NED",0,0,"Web",0,"USD","12/11/2018","3/11/2020",1,0,0,"Europe","Consumer","Web",1,1,34,13,4,6,1,1,0,0,0,1,1,0,0,0.382352941176471,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
153,"ENG",0,0,"Web",39,"USD","8/26/2019","11/29/2019",0,1,1,"US/Canada","Consumer","Web",1,1,78,0,0,0,0,1,39,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,"FRA",0,0,"Web",38.13,"USD","9/19/2019","12/19/2019",0,0,0,"Other","Other","Unknown",0,0,51,2,0,2,0,1,38.13,0,1,0,1,0,0,0.0392156862745098,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,"CHI",0,0,"Web",24.5,"EUR","3/20/2020","6/24/2020",0,1,1,"Europe","Consumer","Web",1,1,27,21,20,3,2,1.12,27.44,0,0,1,1,0,1,0.777777777777778,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
157,"ENG",0,0,"Web",0,"USD","4/28/2019","3/11/2021",0,1,0,"Other","Consumer","Web",1,1,7,5,0,2,0,1,0,0,1,0,1,0,0,0.714285714285714,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,"FRA",1,0,"Web",0,"USD","1/4/2019","1/1/2099",1,0,0,"US/Canada","Consumer","App",1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,"JPN",0,0,"Web",8.72,"EUR","3/28/2019","3/28/2021",0,0,0,"Europe","Consumer","Web",0,1,21,21,4,3,1,1.12,9.7664,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,"ESC",0,0,"Web",10.83,"GBP","1/16/2019","5/17/2020",0,0,1,"Europe","Consumer","Web",1,1,9,8,8,2,2,1.31,14.1873,0,0,1,1,0,1,0.888888888888889,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,"ESP",0,0,"Web",79,"USD","4/13/2019","1/13/2020",1,0,0,"US/Canada","Consumer","App",1,1,141,5,1,5,1,1,79,1,0,0,1,0,0,0.0354609929078014,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,"ALL",1,0,"Web",189,"USD","2/23/2020","1/1/2099",0,0,0,"US/Canada","Consumer","Web",1,1,53,8,0,4,0,1,189,1,0,0,1,0,1,0.150943396226415,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,"ALL",1,0,"Web",212.43,"USD","3/3/2020","1/1/2099",0,0,0,"Other","Other","Unknown",0,0,7,2,0,1,0,1,212.43,0,1,0,1,0,1,0.285714285714286,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
